Document,Topic_group
submission problems submission hello had two leave days october back today tried log days got error informing days interval must bigger than today input october leave thank,HR Support
adaptor pm adaptor si adaptor,Hardware
invoicing request invoicing hi please thank kind regards thursday re invoicing hi per kindly ask create attached code possible apologies rush best invoice closing thank much officer re invoicing hi form attached filled submitted please mention urgent code opened per earliest convenience thanks accounts receivable lead thursday re invoicing thanks everyone please ask create code issuing attached invoice terms take hit benefit client code best regards re invoicing has probably cost more than re invoicing everything lesson learned upcoming thanks thursday re invoicing good morning after checking reverting feedback over client invoiced codes opened having structure client invoiced hence has recognized under wont clear invoice procedure code reverse recognition recognized under additional needed please let thanks accounts receivable lead pm invoicing hi please invoice per excel draft attached left contracts attached details create client please note recognized under code entity although invoice different client entity clear mentioned thank help officer re hi good proceed thanks accounts receivable lead pm re hi regarding attached recognized client invoiced per contracts attached work done by relates golf event concerns recognizing invoicing thank officer re hi invoice signed contract countersign thanks hi understand invoice bit recognized think good out thanks tuesday pm re hi please find attached signed versions framework agreement work package once signed please back thanks partnerships strategy activation oxford street re hi reviewed attached final versions ready sign then back countersign final approved figures over thanks re hi well wondering had update stats receive confirmation amended thanks partnerships strategy activation oxford street morning please find attached work package framework agreement approved by re please sign clean copy return back then sign well copy yourselves hopefully then invoice note receive stats kind regards preceding attachments contains information confidential protected by attorney client other applicable privileges constitute public information intended conveyed designated recipient named intended recipient please notify by replying then delete copies computer dissemination reproduction by unintended authorized unlawful preceding attachments contains information confidential protected by attorney client other applicable privileges constitute public information intended conveyed designated recipient named intended recipient please notify by replying then delete copies computer dissemination reproduction by unintended authorized unlawful,Internal Project
remotely access on songs project thursday july pm remotely songs hello music songs want work remotely resources deploys saturdays needed remotely thank,HR Support
unlock its account unlock hi can you unlock cannot anymore into best regards,Access
new starter december starter form hello please help by filling out starter form thank ext,HR Support
implement rule to friday add additional rules hosted platform leeds importance high hi please implement attached rule thank kind regards discipline lead change coster add additional rules hosted platform leeds importance high hi changes per per attached rule detail document were implemented morning during window friday please test advise outcome thanks dedicated change mobile registered files attached confidential also legally privileged protected disclosure protected by other rules intended individual entity named named addressee received error please inform immediately delete copy disclose contents purpose thank please also note transmission cannot secure error free,Hardware
intermittent laptop screen failure system intermittent laptop screen failure hi could you please log ticket investigate screen problem with machine en attached ll be monday th thanks allot infrastructure,Hardware
new purchase po thursday pm purchase po dear purchased please log installation please take consideration mandatory receipts section order receive item ordered kind regards administrator,Purchase
block mails re re hi thanks letting about delete please add br blacklist regards pm re hi want report attached scam thank test consultant wrote deal has checked viruses by avast software se livre,Hardware
critical alert sent october critical alert following alert occurred status active tape library based tape protection weeks copy description detailed tape inventory failed operation failed since slot library based was empty tape currently present drive drive,Administrative rights
problem with opening files at one com sent tuesday problem with opening files one hi currently we experiencing issues with opening any document located one we have access projects documentation but opening file results into following message with kind regards officer,Hardware
lost access card order a new one work lost access card reported took temporary card noticed could you forward case belgrade,Access
new purchase tuesday february pm purchase dear purchased spare please log installation please take consideration mandatory receipts section order receive item ordered kind regards administrator,Purchase
ops schedule task schedule task hi please tasks summary triggers weekly example task thank va monitoring engineer,Miscellaneous
replenishment received shipment please log replenishment number thanks administrator mobile phone wednesday received shipment morn per po,Purchase
critical alert original message sent tuesday july critical alert following alert occurred status active data source type data source be be computer be description last recovery points created protection agent be was temporarily unable respond because was unexpected for more information open administrator console review alert details monitoring task area,Miscellaneous
line manager and expense report assignment request expense report assignment hi dear please change left afterwards please move expense report please attached approve please let help kind regards lead,Miscellaneous
new pas sent thursday november hi can log into could you please check if something wrong with thank you manager,Hardware
change azure machine change azure machine hi please make azure machines azure both drive please assign thanks design lead ext,Miscellaneous
rejected expense report approval for sent friday rejected expense report approval for hello dears please help with below raised expense report attached files submitted receipts but other end cannot attachments can you please investigate thanks sent rejected expense report approval for access task application expense report approval for details assignee assigned date outcome reject task number report period report total approximately submission date purpose expense items miscellaneous dishes for site task cost center itemized comments data display data display report history person date status notes task assigned expense report rejected by your manager,Miscellaneous
update all users list wednesday october update users please log run script update users,Access
issue with work computer issue with work computer dear already for week have issue with work computer with connection browser calls via etc please help possible thank you regards manager en,Hardware
rights into pm re rights hi please consider want how done during absence want let approvals currently contracts opportunities tanks pm rights hi please give same permissions thank blvd please note holiday public holiday tuesday,Miscellaneous
access request for thursday pm library requesting library links library manage setting library head testing discipline note site site site provides central storage collaboration information ideas site tool collaboration tool communication meeting tool decision making site helps groups work teams social groups share information work together example site help coordinate calendars schedules discuss ideas review proposals share information keep touch other sites dynamic interactive members site contribute own ideas content well comment contribute other,Hardware
user rights wednesday march pm user rights hi please rights user gave him pipeline he he tries he receives thanks,Access
project field not available for update sent tuesday field available for update hi when we move bug progress done screen below we have fill covered by field with value after we update press complete field cannot be found anywhere for later update can you please make field visible for purposes thank you master en,Hardware
suspend access card for maternity leaver advised maternity leave,HR Support
access information request friday july hi want code currently also trigger jobs pull merge question creating jobs give create jobs both second repositories engine dashboard job each repository also release job total jobs process thanks senior software developer,Access
new starter belgrade wednesday pm hello please find attached joiner thank regards administrator,HR Support
for call issues for call issues hi starting monday have issues using for use call functionality after restart computer was able call colleagues but still able call meeting big problem already failed join couple meetings please investigate thanks test consultant,Hardware
returned purchase requisition for laptop cooler friday returned purchase requisition cooler hello purchase cooler returned feedback allocation help regards developer,Purchase
card de tuesday pm card si,Access
oracle submission issue submission issue dear could you help for know public holidays automatically added receive error saying regards developer en,HR Support
please action missing time please action hello can you please help with card for receiving lot reminders fact introduced but somehow error status checked morning cannot modify can you something thank you sent monday october please action dear part established processes each required submit his weekly basis each friday for past week must be submitted for approval you receiving because you haven followed process please action possible below breakdown your please log accordingly training materials available here id if by each wednesday there still past period then your manager also be notified country manager for for date total days,HR Support
new purchase po purchase po dear purchased updated include device under user name link please add allocation device thanks after receive item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed kind regards administrator,Purchase
outlook sporadically send certain invites have attached error message calendar invite for apparent reason parked outbox sent monday incident escalated more two teams fusion hi can you please get back advise why ticket resolved log incident for hold incident sent monday sporadically send certain invites hello please be advised tried reproduce described below behavior test machine issues or interruptions were observed could you please let know if issue reoccurred when happened last best regards senior engineer thank you sent monday incident escalated more two teams fusion ticket assigned more than two teams fusion hi please be advised following ticket assigned more than two teams fusion reference number summary sporadically send certain invites survey scores issue still resolved kind regards ext,Miscellaneous
open hello intern receive work tasks best regards intern tester,HR Support
outlook error message sent monday error message hello need your assistance with error message got when use please below can you please advise what means what need fix thank you infrastructure manager,Administrative rights
oracle for staff on maternity wednesday november pm re maternity hi record inactive required believe instructed make changes ago backlog yet please advise update record status july required thanks,HR Support
project assignment oracle wednesday assignment please assign myself canada regards director,Internal Project
license request architect wednesday july pm architect hello provide license architect thank digital solution architect,Access
sales owner change sales owner change hi there trying update sales owner record needs change myself but every make change hangs then crashes seems for other updates thanks,Miscellaneous
access to location location hi please provide layouts source ancient polls thank analyst ext,HR Support
user lazar tuesday december hello has member namely kindly ask help two things also want him wanted add him him users add maybe because has recently joined he yet added considering currently running speed much appreciate fast resolution thanks lot code,Access
approval flow error sent friday aw update notification approval errors hi can approve marked can you check please,Miscellaneous
maintenance windows wednesday february pm hi want implement attached currently clients identified color coding follows client allowed change window client allowed change window client allowed change window client allowed change window client allowed change window client allowed change window cross accounts window single relevant warning messages displayed cr indicating planned date planned date both allowed also way track changes were done entirely partly example true false true implemented within change false date both useful populated based dates after cr implemented let questions about please raised thanks,Hardware
extension cable tuesday pm extension cable hello took extension cable form thank developer,Hardware
changes on access card permissions friday october pm re update card hi sorry card did worked area gave back received visitor possible please activate name sorry coming back same issue good weekend update card dear further recent communication believe query has resolved resolution response please let further assistance matter reference number summary card resolver description october card hi please activate card visitor name unfortunately lost mine sorry thank kind regards ext hub ref msg information confidential legally privileged intended solely addressee opinions expressed mine necessarily represent opinions susceptible interference intended recipient disclosure copying action taken omitted taken reliance strictly prohibited unlawful received error attachments please notify delete accepts responsibility information errors omissions misuse act committed,Access
new starter access card enabling center july pm re hi completed regards july hello fill return both thank administration officer registered under number whose registered old broad street kingdom provide clients each subsidiaries separate entity has liability entity acts,HR Support
submit missing time cards re reports hello since vacation recover his submit cards his thanks,HR Support
uploading leads into tuesday july pm uploading leads hi please upload attached excel file leads believe accounted thank,Hardware
service now account locked sent thursday locked hi can you please unlock best regards senior consultant infrastructure,Access
oracle queries turning the notifications on wednesday pm hi please content assign thank regards pm re cannot fixed please turn back please holiday approve well bound thanks planning officer infrastructure upcoming holiday none please consider environment print,Miscellaneous
new pas editing access pm editing hi please editing please replicate permissions kindly consider urgent upload forecasts thank officer,HR Support
the laptop works very slow laptop works very slow hi ever since installed computer works extremely slow already lost lot work had restart before could save anything could you please assist with issue thank you tester en,Hardware
device alert notification th floor printer original feed part device floor printer feed part printer details gate error tray tray copier busy details tray gate error tray fax busy details gate error tray tray scanner busy details gate error model name device name floor comment host name name stateless stateless stateless stateless stateless print name file name name computer name share name device floor printer floor printer notified,Miscellaneous
devices not getting addresses devices getting addresses hello devices unable obtain address server could you please escalate appropriately thank you regards administrator,Hardware
social mailing list request for info thursday october pm social mailing hi please help information resolve thanks head thursday october pm re social mailing hi information how configured question must engineer social mailing hi investigate more spoke generally issue mailing by yourself issue location thanks wednesday october pm re social mailing hi thank help ask functioning too frustrated by how works introduce work please find solution head wednesday october social mailing hi social mailing ready join leave mailing by themselves tested working well client please inform joining how looks currently after approvals thanks,Miscellaneous
flex monitor stand friday flex monitor stand importance high hi teams colleague great monitor riser flex monitor stand because work posture user height please create installation thank administrator phone,Hardware
test request test test kind regards analyst ext hub,Hardware
new repository thursday march pm git location hello please provide git repository thanks regards,Access
expense report november expense report dear please status expense report auditor ago has processed until help unblock flow order receive money thank,Miscellaneous
lists ownership thursday october pm lists ownership hello dear please change owners lists attached members particular add members advise users perform self area please fix urgently please details wrong ownership ownership regards discipline lead,Miscellaneous
account locked for locked for hi can you please help colleague log her laptop message appears laptop referenced currently locked out thanks regards accounts receivable accountant,Access
opportunities to be imported to pas opportunities imported hi please import opportunities known pipeline opportunity id opportunity id opportunity id opportunity id opportunity id thanks officer,Internal Project
confluence account thursday pm confluence si err invalid credentials va enable la confluence discipline,Access
access to all ledgers sent tuesday access ledgers hi lead should have access ledgers module please her manager access thanks kind regards accountant ext en sent access ledgers hello could you please grand access ledgers thank you regards leader,HR Support
access to server through open wednesday pm re hello please allow win thank wednesday pm win si administrators la ti la el details port channel channel user head,Hardware
oracle absence management approving march absence importance high hi guys please assist approvers timecards immediate effect leave annual leave approver absence leave approver let kind regards march absence thank much please approvers kind regards administrator march re absence hi absence codes which approvers holiday special leaves therefore approvers please which these yourself regards flow cannot bet where book absences far timecards parallel each makes sense kind regards friday march pm absence dear probably move building next unfortunately remain without means way tracking absences please help avoid potential problem make become approvers absence since yet help important because way days annual sick leaves also please make approver change order absence type primary approver secondary approver compliance thank weekend administrator,HR Support
skill matrix request tuesday december pm skill matrix dear regarding skill matrix please verify information populated application corresponds precise active employees listed present application active employees removed skills certification add application how by other way given thank central eastern technical,Hardware
leaver service now center friday leaver form leave date location center hello leaver form has filled by name leaving date location center ad forwarder leaver mailbox did leaver roaming profile did leaver ad rights personal mailbox approver did leaver rights inventory storage required information name work location details floor seat did leaver did leaver token did leaver mobile phone subscription did leaver other subscription commercial accounts leaver has detected changed automatic by approver backup pm purchase coordinator approver approver approver approver discipline responsible other did leaver did leaver did leaver did leaver did leaver number did leaver extension leaving details unplanned comments needed tickets automatically logged best regards note mailbox receive messages,HR Support
requires access to thursday pm requires hello require pilot reason deploy other information required please fire away user added thank,Access
new purchase friday pm kb please log replenishment please perform order good administrator phone,Purchase
approver november pm approver hi currently two approvers st approver has recent change after members getting approvals each please st approver let members approved once by myself thanks planing officer infrastructure upcoming holiday st march,Miscellaneous
extension cord needed thursday february pm extension hi extension cord please,Hardware
issue with outlook sent monday december issue with hello please help with attached,Administrative rights
access request for thursday july site requesting links site manage setting site please specify level require write hello level required moment suffice confluence while cd maturity thanks note site site site provides central storage collaboration information ideas site tool collaboration tool communication meeting tool decision making site helps groups work teams social groups share information work together example site help coordinate calendars schedules discuss ideas review proposals share information keep touch other sites dynamic interactive members site contribute own ideas content well comment contribute other,Hardware
de awaiting approval awaiting approval la line awaiting approval si ne cine sa ultima ca va sa solution architect,Miscellaneous
security settings for a new floor floor dear please secure after pm today floor tower same rd floor also please take off floor tower after tomorrow please let questions best regards sorry short notice planning officer ext,HR Support
approval notifications approval hi can you your take look please would really like understand why being triggered submission can you raise ticket please assign thanks sent november approval illustrate remark made by yesterday about flood notification attached yesterday evening corrected hours two days his timecard last week card again one arrived between only one task approve again logical if one timecard leads only with weeks per month total lot traffic relevant think some improvement would be appreciated kind regards programme manager,Miscellaneous
please create mailing list please create mailing please create mailing making members thanks best colombia affiliates distinct entity responsibility entity acts omissions,Miscellaneous
laptop windows os reinstall tuesday july pm os reinstall hi please log reinstall os thank,Hardware
create ad user com wednesday re range has assigned hello please informed range has repository rule name best regards senior engineer wednesday range has assigned hello please advised record number has assigned please review details take appropriate action reference number details requested location summary range additional comments requirements tuesday pm re repository kind regards re repository hi again possible add range range best tuesday pm repository hello forwarding attached client which he states he find details thanks hello update hi guys repository display name link assign reference assignment summary location please link kind regards ref msg,Access
contractor extension tuesday re contractor extension updated thank pm contractor extension hi please update ensure date february thanks planning officer registered under number whose registered old broad street kingdom provide clients each subsidiaries,HR Support
account for florin march pm hi source repository thank agile,Access
address compliance officer com thursday pm compliance officer hi whatever needs ensure compliance officer inside forwarded thanks re compliance officer think sound sensible re compliance officer hi wanting separate mailbox directed recommended approach terms compliance regards date re compliance officer hi thought had requested follow please thanks compliance officer hi liaising bribery policy compliance officer exist recall correctly introduced part updates policy action mailbox completed needs resolved regards,Storage
accessing error regarding error po ti sa sa ca magic si re urgent accessing error dear issue still persists could you look into mentioned below we invoicing period would appreciate being resolved today thank you regards officer sent wednesday october accessing error hello we currently experiencing problems accessing following link worked perfect until yesterday forms paged true modified id view we currently invoicing cycle would appreciate rapid resolution thanks officer,Hardware
for account friday march pm hello please create he please make communication regarding going user thanks kind regards engineer got feedback friday march engineer friday march re sorry friday march re si care ca merci engineer friday march re id ii si merci friday march re id merci engineer friday march please investigate friday march si,Access
re new starter form for it induction hello pro attached can be ordered stores macedonia for joiner creative we haven still receive purchased laptop days best regards head analysis en sent november re starter form for induction hi can you please advise what purchase needs be done here kind regards administrator sent friday november starter form for induction importance high dear would you please take look for request well thank you head analysis en sent november re starter form for induction importance high dear any progress for request equipment should be raised would you please because days needed for equipment arrive after approval best regards original message date re starter form for induction updated sent october starter form for induction hi could you please assist with completion attached return form including career empty field part also kind regards assistant,HR Support
complaint tickets wednesday november pm complaint tickets hi thanks progressed whatever bugs issues notice reports please log possible include queue handle these requests noticed lose track bad capability tuesday november complaint tickets hello ladies while collecting report upon reaching section checking noticed unable complaint tickets anymore particular filtered complaints out upon going records tab nothing displayed please thank,Miscellaneous
vs license tuesday february pm vs license hello please provide visual studio license thanks,Access
oracle error while attempting to approve sent wednesday march re invoice hello everybody getting error while attempting approve copying for help best digital,Miscellaneous
oracle view issue sent thursday july cine vine sa ca diverse importance high si add plus ca sa se si publisher,Hardware
notification monthly windows updates deployments on infrastructure and production servers am pm time thursday july re updates deployments infrastructure production pm hi please find form attached thanks kind regards senior engineer wednesday july pm updates deployments infrastructure production pm hello please provide completed form correctly inform affected update looking forward hearing thanks kind regards analyst ext wednesday july pm updates deployments infrastructure production pm dear please updates going install updates production test unavailable experience total downtime approximately minutes per please lists affected production patched test os available due host reboot os thank kind regards senior engineer,Hardware
training templates and scheduled jobs improved notes for kb friday pm re training reports update istanbul release tomorrow upgraded update reports kb highlights regarding body article add informative note regarding reports made gauges reports added dashboards reports category instead gauges category replace existing screen shots ones istanbul version update also related descriptive text where needed paragraph regarding additional filtering options heavy unused tabs removed view run include note gauge text role section whole creating gauge section keep touch thanks consultant appointment thursday pm training reports friday pm pm athens where communicate meeting room floor training reports topic granting module report design scheduling resource kb view kb id language kb search table search thursday pm re training templates scheduled jobs improved training topic noticed related kb articles improved additional information added notes feel free update content articles whenever possible side thanks consultant appointment pm training templates scheduled jobs thursday pm pm athens where communicate meeting room floor templates scheduled jobs training topic resources template creation kb kb view kb id add notes stating somewhere submit update creating template automatic generation incidents requested items etc please include also automated true after submit update after template please add template template name way store resulting record etc having template template usage kb kb view kb id add notes stating after template want populated automatically defined template front each updated by template image image encounter issues conflicts applying template means added template record visible form allowed edited user level scheduled jobs kb view article kb join meeting trouble joining app join by phone english kingdom colombia english kingdom denmark english states finland english kingdom germany english kingdom english kingdom macedonia english kingdom english states english kingdom norway english kingdom english kingdom english kingdom sweden english kingdom kingdom english kingdom states english kingdom test english kingdom kingdom test english kingdom find number id forgot dial pin help,Hardware
shared mailbox managers wednesday shared mailbox hello please shared mailbox starting job position thank great events coordinator,Storage
card card va ledger accountant,Access
new account pm dear please create tv expiration policy user present boards tv assigned thank senior analyst,Access
access rights sent monday november access rights hi appears can longer projects tab can you please assist him officer,Hardware
oracle approval notifications issue sent friday november manager change issues hi another manager but some still appear being his manager also receive approval for his can you please help correcting best regards consultant,Miscellaneous
request for changing working laptop changing working hello please consider changing working reasons enough upgrade win battery working glued duct tape wired broken working working more than years technical details least thank technical lead,Hardware
can not upload documents sent thursday october link breaking please can someone investigate cannot upload documents thanks contract id manager,Hardware
spike story bug issue types for project spike story issue types hello please help enable spike story issue types view planning thank,HR Support
issues rename issues hi please be informed have issues with laptop can you please help thanks,Hardware
new purchase po pm purchase po dear purchased lite updated include device under user name link please log allocation please take consideration mandatory receipts section order receive item ordered how video please explorer kind regards administrator,Purchase
change oracle change dear ask change employees square perform centre blvd center best regards,Miscellaneous
accessible from queries tuesday re accessible hi again same note possible discuss questions thank accessible hi how wondering requirements accessing instance assume idea internship plans infrastructure setup were thinking repository interns work kind regards discipline lead,HR Support
please procurement preparer role to please preparer role hi guys please kindly requester preparer role entities hello colleagues please kindly thanks kind regards,HR Support
phone number error thursday phone number error hi looking profile ad noticed phone number wrong please real signature,Hardware
card leaver card leaver la care leaver,Access
new mouse and headphones february mouse headphones hi issues ports probably mouse headphones work grateful communications,Administrative rights
tiger security arm disarm report march tiger arm disarm report hi please liaise tiger dispatch help out arm disarm report thanks,HR Support
how licenses are available hello guys advised some users received message there licenses available sa sa total ca sa ca available ticket si la,Access
create new project for quality attributes explorer thursday november pm re create attributes explorer hi please find attached form few notes sponsored by has recovery think has code please require repository require terminology multiple repositories which created by users require both write permissions thanks head thursday november re create attributes explorer hello order create filled out form containing details needed about repository please complete form attached back thank analyst ext hub thursday november re create attributes explorer hi please assist further assistance please let thank thursday november create attributes explorer hi please create create various repositories later needed name attributes explorer whose product owner please provide permissions also myself thanks head,Access
critical alert sent monday july critical alert following alert occurred status active data source type data source computer description last recovery points created encountered error,HR Support
updated start dates colombia starters thursday pm updated dates hello employees colombia started different date initially stated please find dates name name date joining please update wherever done thank administration officer,Miscellaneous
windows updates for friday pm updates dear please rise updates available decommissioned updates available updates available updates available best regards engineer thursday updates hello inform updates successfully installed updates report updated accordingly please resume normal monitoring best regards engineer,Hardware
to port access azure hi please help providing port please let more details thank thursday pm azure la port tx thursday pm azure hi developers azure ready created users accounts generate extract database remote client port few words about problem generate template problem version kernel downgrade change boot load version probably create which explain version kernel working wednesday re tasks hi thanks update ex tables logs working wednesday tasks hi about tasks created users database developers created generate database status active too task unable find table ex repository every report oats by script added checks test create delete engineer nab kiev ukraine,Access
additional monitor required additional monitor required hi please provide additional monitor requirement developer mobile,Hardware
set as project manager thursday march pm pm dear assigned please also under these thanks agile champion,Miscellaneous
to be added hi please added dye thanks kind regards,Miscellaneous
work location change thursday october pm work location hello please change work location centre because profile looks work never worked best tester,Miscellaneous
migrating eel to a new machine thursday july pm migrating eel machine hello want migrate eel old machine redirect eel eel eel machine moment eel done friday evening after more details please thank,Hardware
second ram slot second slot hi second enough cpu writing thanks,Hardware
problems accessing the domain sent monday december problems accessing domain hello guys recently laptop was upgraded for some reason cannot access domain when work can anyone help thanks,Hardware
patch cable request patch cable hello patch cords patch cables asap help please thank senior software developer,Hardware
rebuild en friday pm rebuild assets hi guys please each assign que rebuild best regards engineer ext,Hardware
add to add hi please add thank head,Miscellaneous
its report for the user report for hi please check whether tor browser allowed take appropriate actions for specified please attached report for more details,Access
access hi connect please thank,Hardware
